timestamp_raw,timestamp_iso,price,volume
Jun 07 2016 01: +0,,7.069,6872
Jun 08 2016 01: +0,,7.122,8491
Jun 09 2016 01: +0,,7.206,10351
Jun 10 2016 01: +0,,7.253,8911
Jun 11 2016 01: +0,,7.264,8744
Jun 12 2016 01: +0,,7.325,7792
Jun 13 2016 01: +0,,7.052,8123
Jun 14 2016 01: +0,,7.124,7618
Jun 15 2016 01: +0,,6.854,7864
Jun 16 2016 01: +0,,7.166,9262
Jun 17 2016 01: +0,,6.88,10687
Jun 18 2016 01: +0,,7.194,10039
Jun 19 2016 01: +0,,7.138,9364
Jun 20 2016 01: +0,,6.983,9156
Jun 21 2016 01: +0,,6.967,8533
Jun 22 2016 01: +0,,7.02,8658
Jun 23 2016 01: +0,,6.387,10035
Jun 24 2016 01: +0,,6.057,10393
Jun 25 2016 01: +0,,5.963,9294
Jun 26 2016 01: +0,,6.013,9112
Jun 27 2016 01: +0,,5.959,9201
Jun 28 2016 01: +0,,5.662,9363
Jun 29 2016 01: +0,,5.785,8021
Jun 30 2016 01: +0,,5.359,10321
Jul 01 2016 01: +0,,5.833,9284
Jul 02 2016 01: +0,,5.91,8430
Jul 03 2016 01: +0,,5.449,7254
Jul 04 2016 01: +0,,5.27,8884
Jul 05 2016 01: +0,,5.569,7458
Jul 06 2016 01: +0,,5.706,7007
Jul 07 2016 01: +0,,5.746,6885
Jul 08 2016 01: +0,,5.898,7394
Jul 09 2016 01: +0,,5.822,8424
Jul 10 2016 01: +0,,5.552,9325
Jul 11 2016 01: +0,,5.976,7736
Jul 12 2016 01: +0,,6.028,7498
Jul 13 2016 01: +0,,6.107,7031
Jul 14 2016 01: +0,,5.779,7856
Jul 15 2016 01: +0,,6.235,8819
Jul 16 2016 01: +0,,6.68,11006
Jul 17 2016 01: +0,,6.799,6365
Jul 18 2016 01: +0,,6.607,6042
Jul 19 2016 01: +0,,6.225,6017
Jul 20 2016 01: +0,,6.025,5878
Jul 21 2016 01: +0,,6.388,5275
Jul 22 2016 01: +0,,6.373,5288
Jul 23 2016 01: +0,,6.402,5493
Jul 24 2016 01: +0,,6.49,7528
Jul 25 2016 01: +0,,6.743,6146
Jul 26 2016 01: +0,,6.738,5969
Jul 27 2016 01: +0,,6.363,6910
Jul 28 2016 01: +0,,6.537,14750
Jul 29 2016 01: +0,,6.591,7234
Jul 30 2016 01: +0,,6.454,6518
Jul 31 2016 01: +0,,6.786,6051
Aug 01 2016 01: +0,,6.604,7636
Aug 02 2016 01: +0,,6.818,5830
Aug 03 2016 01: +0,,6.746,5850
Aug 04 2016 01: +0,,6.959,6271
Aug 05 2016 01: +0,,6.955,5150
Aug 06 2016 01: +0,,6.673,6066
Aug 07 2016 01: +0,,6.513,5917
Aug 08 2016 01: +0,,6.321,7129
Aug 09 2016 01: +0,,6.404,6662
